FFT_analysis (Idc=2e-06) X,FFT_analysis (Idc=2e-06) YRe,FFT_analysis (Idc=2e-06) YReImag
111000000,1.987565369845515e-09,-7.46503050638941e-09
111500000,1.836948961398008e-09,-7.492890402990338e-09
112000000,8.417915240794517e-08,-7.725325952913687e-08
112500000,1.533745833054692e-09,-7.52786498400798e-09
113000000,1.381868040990778e-09,-7.535222019450685e-09
113500000,1.230302582079962e-09,-7.535933940135425e-09
114000000,1.07932008527352e-09,-7.53016092835054e-09
114500000,9.292126902552098e-10,-7.518040845373637e-09
115000000,7.802716562790221e-10,-7.499719002398939e-09
115500000,6.327671845954361e-10,-7.475454601740264e-09
116000000,-2.244379846794669e-06,-8.180528337057698e-07
116500000,3.429391245410481e-10,-7.409473858303024e-09
117000000,2.00918336719545e-10,-7.368160623019963e-09
117500000,6.118899309109508e-11,-7.321612004132601e-09
118000000,-7.616712451080629e-11,-7.269963057986332e-09
118500000,-2.110009320278846e-10,-7.213392169343637e-09
119000000,-3.431788200442746e-10,-7.152052393001528e-09
119500000,-4.726031695862807e-10,-7.086163295767081e-09
120000000,2.427035390931258e-07,5.108621557408844e-08
120500000,-7.22604621699174e-10,-6.9411670050923e-09
121000000,-8.43064928751696e-10,-6.862317657560184e-09
121500000,-9.60320624254243e-10,-6.779517732329766e-09
122000000,-1.074301534152643e-09,-6.692867009386061e-09
122500000,-1.184929905664462e-09,-6.602513325905234e-09
123000000,-1.29213724232952e-09,-6.508590972052989e-09
123500000,-1.395894823995495e-09,-6.411212801001529e-09
124000000,5.174340042093467e-08,-6.940640860589498e-08
124500000,-1.592662557086792e-09,-6.206622523433538e-09
125000000,-1.685567158150739e-09,-6.099553781184009e-09
125500000,-1.774779464701673e-09,-5.989467409983728e-09
126000000,-1.860200122908113e-09,-5.876427374323192e-09
126500000,-1.94176688365818e-09,-5.760518631633471e-09
127000000,-2.019403486433724e-09,-5.641812728473333e-09
127500000,-2.093031633565312e-09,-5.520348564927166e-09
128000000,1.11340626126225e-07,4.944067132735766e-09
128500000,-2.227878628324858e-09,-5.269573421013557e-09
129000000,-2.288831353155296e-09,-5.140339516279688e-09
129500000,-2.345341162066908e-09,-5.008617357594201e-09
130000000,-2.397240236667153e-09,-4.874508617396367e-09
130500000,-2.444383956070633e-09,-4.738096986002584e-09
131000000,-2.486620968857969e-09,-4.599465145454524e-09
131500000,-2.523703789647899e-09,-4.458679806002629e-09
132000000,2.678399303613286e-07,-8.976613139160971e-07
132500000,-2.581843296389764e-09,-4.171286561816408e-09
133000000,-2.602430050803229e-09,-4.025069066855864e-09
133500000,-2.617049381321742e-09,-3.87732018418295e-09
134000000,-2.625492984638585e-09,-3.728331613397585e-09
134500000,-2.627544117091132e-09,-3.578362515393081e-09
135000000,-2.623006825514181e-09,-3.427711407119014e-09
135500000,-2.611652773029373e-09,-3.2767124783878e-09
136000000,-1.49797130964852e-07,4.756668164275068e-08
136500000,-2.568036397864418e-09,-2.97509957370173e-09
137000000,-2.535522549840861e-09,-2.825324628069034e-09
137500000,-2.495708093798857e-09,-2.676749104906512e-09
138000000,-2.448576123627648e-09,-2.529838697631296e-09
138500000,-2.394110352753822e-09,-2.385037513863195e-09
139000000,-2.332328997906571e-09,-2.242795413975972e-09
139500000,-2.263260074977198e-09,-2.103604671497166e-09
140000000,8.016207694767678e-09,1.532084634019992e-08
140500000,-2.103623097906396e-09,-1.836117612080376e-09
141000000,-2.013381650365407e-09,-1.708835146783384e-09
141500000,-1.916378274620511e-09,-1.586501749633293e-09
142000000,-1.812871388478817e-09,-1.469570095931538e-09
142500000,-1.703126312939803e-09,-1.358514952877304e-09
143000000,-1.58746076683325e-09,-1.253778790932203e-09
143500000,-1.466243574314779e-09,-1.155821395339881e-09
144000000,-4.026800795103591e-08,5.207609013883418e-08
144500000,-1.208579526958615e-09,-9.8168801206387e-10
145000000,-1.073075098696116e-09,-9.062696738300518e-10
145500000,-9.337419874710703e-10,-8.391070814774883e-10
146000000,-7.911010928194778e-10,-7.80445144595205e-10
146500000,-6.456757015209879e-10,-7.305419565488191e-10
147000000,-4.980221969239624e-10,-6.896242442914116e-10
147500000,-3.487640495525449e-10,-6.578588091825366e-10
148000000,5.088271035465199e-08,4.867368744473117e-08
148500000,-4.759817799296813e-11,-6.222613535126856e-10
149000000,1.031154931547135e-10,-6.185473485215016e-10
149500000,2.53046695352657e-10,-6.243107155806509e-10
150000000,4.016070756943481e-10,-6.394881433675261e-10
150500000,5.481785410725782e-10,-6.640139751468023e-10
151000000,6.921459650622661e-10,-6.977897957009255e-10
151500000,8.328405646880534e-10,-7.406240130600064e-10
152000000,2.024449715562556e-08,-5.283719888899965e-07
152500000,1.102181668326515e-09,-8.527353107952044e-10
153000000,1.229718558651851e-09,-9.214305039671635e-10
153500000,1.351638155093757e-09,-9.981742928655997e-10
154000000,1.467431293429688e-09,-1.08258619043461e-09
154500000,1.576562362559778e-09,-1.17424966631301e-09
155000000,1.678531022455785e-09,-1.272715827280218e-09
155500000,1.772867411514829e-09,-1.377457670991067e-09
