FFT_analysis X,FFT_analysis YRe,FFT_analysis YReImag
1172500000,-2.119910876109e-14,-1.251082085286742e-14
1173000000,7.966716734233278e-15,-7.769184368085832e-15
1173500000,3.66379411833626e-15,-6.189247950390841e-15
1174000000,6.082094369246562e-15,-2.073661633432993e-15
1174500000,7.652873827295794e-15,1.867929520765397e-15
1175000000,1.117940617179209e-14,3.917625624674806e-16
1175500000,-1.987952286980963e-15,2.50591614718529e-14
1176000000,2.379593244341429e-08,-5.710618706910809e-08
1176500000,-2.550147364464852e-14,-3.726375932599332e-15
1177000000,1.260718458661436e-15,-1.287170732441298e-14
1177500000,1.141775080800572e-16,-1.021592181218845e-14
1178000000,3.643990478378709e-15,-8.394416357580984e-15
1178500000,9.833406971706699e-15,-8.156952421865706e-15
1179000000,8.031547343471484e-15,-1.355006216301723e-14
1179500000,3.498486099707752e-14,1.865165139077971e-14
1180000000,1.466329058296379e-07,-4.571759570906944e-08
1180500000,-1.639079230872444e-14,3.731322502159304e-14
1181000000,-1.482339771222705e-14,-4.255958843212048e-15
1181500000,-1.364403967222722e-14,1.009346198066141e-15
1182000000,-8.620828463874329e-15,-2.502402646914725e-15
1182500000,-7.336577938051574e-15,-5.119035077131718e-15
1183000000,-8.623876516604241e-15,-5.765149147807481e-15
1183500000,9.45928323935346e-15,-1.288267076594441e-14
1184000000,-2.254110283538425e-07,-4.66274885408979e-08
1184500000,9.308258993765632e-15,1.186813973538118e-14
1185000000,-8.399076334373121e-15,4.183845939500299e-15
1185500000,-5.722429537939754e-15,3.555100959594903e-15
1186000000,-6.803965936477293e-15,6.693197142155451e-16
1186500000,-8.259266054890405e-15,-2.877738770530142e-15
1187000000,-1.105913066052518e-14,-1.145112857627038e-15
1187500000,1.272955209566747e-15,-2.37987414195482e-14
1188000000,-3.795392111338952e-08,1.180464526633995e-07
1188500000,2.248816251942182e-14,2.905023312245807e-15
1189000000,-2.136852225034353e-15,1.128702807609451e-14
1189500000,-6.636746281032127e-16,8.450551902112546e-15
1190000000,-4.262977118219428e-15,6.742409357225288e-15
1190500000,-9.381747967895154e-15,5.19204117331452e-15
1191000000,-9.586222577020966e-15,1.057169146671433e-14
1191500000,-2.501147318115416e-14,-2.291544710289754e-14
1192000000,4.339590663851763e-08,2.737359241391395e-08
1192500000,2.332836240068791e-14,-2.614016090635065e-14
1193000000,1.185077472446617e-14,8.779758892330831e-15
1193500000,1.143830323530691e-14,5.288082546026344e-15
1194000000,6.658184662577846e-15,7.177579454672117e-15
1194500000,3.369036888065762e-15,1.216212991422175e-14
1195000000,8.11584154932731e-15,1.27255416496565e-14
1195500000,-3.074093725845728e-14,1.910861364990324e-14
1196000000,-1.185467757786695e-08,1.318120001838153e-07
1196500000,-2.039213446916375e-14,-3.07525516362314e-14
1197000000,1.233765984360172e-14,-8.789161969256641e-15
1197500000,7.085660287862095e-15,-1.11620859021888e-14
1198000000,7.444192955863297e-15,-4.997915696893346e-15
1198500000,9.499540857661109e-15,-3.478823949663806e-15
1199000000,9.774310072871699e-15,-3.074931367218867e-15
1199500000,1.008719973532245e-14,1.325892764966636e-14
1200000000,2.405268027043984e-06,-2.717162740803955e-06
1200500000,-1.075229757401798e-14,1.102817572625545e-15
1201000000,1.833600317209487e-15,-7.953377815827463e-15
1201500000,2.860178399653594e-15,-5.152401671270268e-15
1202000000,5.413742637103779e-15,-4.686701517669196e-15
1202500000,1.115614434183593e-14,-2.984342623458626e-15
1203000000,1.102419949276377e-14,-9.264535317689635e-15
1203500000,2.550180513784186e-14,2.721669107162935e-14
1204000000,-1.71356549336663e-07,-4.653924028244921e-08
1204500000,-2.554486143803483e-14,2.769395961880503e-14
1205000000,-1.163294159586992e-14,-8.748663968158374e-15
1205500000,-1.177950309068813e-14,-4.881573025855503e-15
1206000000,-6.417415274160336e-15,-6.81522845274033e-15
1206500000,-3.027900514331388e-15,-1.185158143339524e-14
1207000000,-7.629748330461589e-15,-1.294301229659234e-14
1207500000,3.329560436718852e-14,-1.73519272837906e-14
1208000000,-5.476819842709713e-09,-1.157144993371629e-08
1208500000,1.889706330769941e-14,3.406888521347579e-14
1209000000,-1.38462023244797e-14,9.25930865166916e-15
1209500000,-8.575594831580653e-15,1.09710614145499e-14
1210000000,-9.066176039014102e-15,4.918084716175448e-15
1210500000,-1.132283076186166e-14,9.411342755811335e-16
1211000000,-1.374801043638381e-14,2.959599704760603e-15
1211500000,-4.2757339779553e-15,-2.755904523276123e-14
1212000000,-1.417221209219302e-07,-2.287068217146862e-08
1212500000,2.919289244193385e-14,-5.916582251262282e-16
1213000000,1.122752188442117e-15,1.557852500414549e-14
1213500000,3.258973805388815e-15,1.247040620678082e-14
1214000000,-1.132244215560784e-15,1.10390499547113e-14
1214500000,-4.779812800737337e-15,1.238218534340752e-14
1215000000,-3.351847671976408e-15,1.462202083763652e-14
1215500000,-2.836379534398164e-14,2.066563159702787e-15
1216000000,-2.119454598656544e-07,1.18080233429966e-06
1216500000,-1.640877228770306e-15,-2.206554461454302e-14
1217000000,7.968960159720137e-15,3.222316502368517e-15
1217500000,3.878443135013845e-15,1.423310307210649e-15
1218000000,1.855733995981444e-15,5.218033993032568e-15
1218500000,-3.192036707244678e-15,9.566990685379349e-15
1219000000,2.551258649086165e-15,1.321458789547957e-14
1219500000,-3.839068388305326e-14,5.41618547766155e-15
1220000000,1.204247822410579e-07,-1.627026914055066e-07
1220500000,-9.312412618904548e-15,-3.940160016495751e-14
